ProductID,Product Category,Description,Brand,Approx. Price (USD)
PROD001,Smartphone,Flagship smartphone with advanced camera and processing power,Apple,999
PROD002,Smartphone,Android smartphone with high refresh rate display and versatile camera,Samsung,899
PROD003,Wireless Headphones,Over-ear headphones with active noise cancellation and long battery life,Sony,349
PROD004,True Wireless Earbuds,Compact earbuds with comfortable fit and good sound quality,Bose,249
PROD005,Smartwatch,Feature-rich smartwatch with health tracking and app integration,Apple,399
PROD006,Laptop,Ultraportable laptop for everyday use and productivity,Dell,799
PROD007,Tablet,Versatile tablet for entertainment creativity and productivity,Apple,499
PROD008,Smart Speaker,Voice-activated smart speaker with virtual assistant,Amazon,99
PROD009,4K Smart TV,55-inch Ultra HD television with smart features and HDR support,LG,699
PROD010,Portable Bluetooth Speaker,Rugged and waterproof speaker for outdoor use,JBL,129
PROD011,E-reader,Dedicated device for reading digital books with long battery life,Amazon,139
PROD012,Digital Camera,Mirrorless camera for photography enthusiasts,Sony,1299
PROD013,Gaming Console,High-performance console for immersive gaming experiences,Sony,499
PROD014,Fitness Tracker,Wearable device for tracking activity sleep and heart rate,Fitbit,149
PROD015,External Hard Drive,1TB portable external hard drive for data backup and storage,Seagate,59
PROD016,Solid State Drive (SSD),1TB internal SSD for faster computer performance,Samsung,119
PROD017,Wireless Mouse,Ergonomic wireless mouse for comfortable computer navigation,Logitech,49
PROD018,Wireless Keyboard,Full-size wireless keyboard for comfortable typing,Logitech,79
PROD019,Webcam,High-definition webcam for video conferencing,Logitech,69
PROD020,Router,Wi-Fi 6 router for fast and reliable home network,Netgear,149
PROD021,Smart Lighting,Smart LED bulb that can be controlled via app or voice assistant,Philips Hue,49
PROD022,Smart Thermostat,Wi-Fi enabled thermostat for remote temperature control and energy savings,Nest,199
PROD023,Security Camera,Wireless indoor/outdoor security camera with motion detection,Ring,99
PROD024,Drone,Compact drone with camera for aerial photography and videography,DJI,799
PROD025,Projector,Portable projector for home theater or presentations,Anker,299
PROD026,Car Dash Cam,High-resolution dashboard camera for recording driving footage,Garmin,149
PROD027,GPS Navigation,Dedicated GPS device for in-car navigation,Garmin,179
PROD028,Portable Power Bank,High-capacity portable charger for smartphones and other devices,Anker,49
PROD029,USB Hub,Multi-port USB hub for expanding connectivity,Anker,29
PROD030,Surge Protector,Power strip with surge protection to safeguard electronics,Belkin,39
PROD031,Smartphone,Mid-range smartphone with good battery life,Google,449
PROD032,Smartphone,Budget-friendly smartphone with essential features,Motorola,199
PROD033,Wireless Headphones,Budget-friendly over-ear headphones,Anker,59
PROD034,True Wireless Earbuds,Water-resistant earbuds for workouts,Jabra,179
PROD035,Smartwatch,Basic fitness tracker with smartwatch features,Xiaomi,79
PROD036,Laptop,Chromebook for cloud-based productivity,Google,399
PROD037,Tablet,Android tablet for media consumption,Samsung,299
PROD038,Smart Speaker,Compact smart speaker,Google,49
PROD039,4K Smart TV,65-inch Ultra HD television with local dimming,TCL,899
PROD040,Portable Bluetooth Speaker,Mini and ultra-portable speaker,Sony,59
PROD041,E-reader,Waterproof e-reader for reading by the pool or bath,Kobo,159
PROD042,Digital Camera,Entry-level DSLR camera,Canon,599
PROD043,Gaming Console,Portable gaming console,Nintendo,299
PROD044,Fitness Tracker,Simple step counter and sleep tracker,Amazfit,49
PROD045,External Hard Drive,2TB desktop external hard drive,Western Digital,79
PROD046,Solid State Drive (SSD),500GB NVMe SSD for high-speed performance,Crucial,69
PROD047,Wireless Mouse,Silent wireless mouse,Microsoft,39
PROD048,Wireless Keyboard,Compact wireless keyboard with trackpad,Apple,99
PROD049,Webcam,4K webcam for professional video calls,Razer,199
PROD050,Router,Mesh Wi-Fi system for whole-home coverage,Google,299
PROD051,Smart Lighting,Color-changing smart LED strip,Govee,39
PROD052,Smart Thermostat,Learning thermostat with energy usage reports,ecobee,249
PROD053,Security Camera,Pan-tilt indoor security camera,Wyze,39
PROD054,Drone,Beginner-friendly mini drone,Ryze (DJI),99
PROD055,Projector,Short-throw projector,Epson,799
