ProductID,Supplier,Supplier Return Policy,Adjusted Price (USD),Supplier_ID,Return Policy Rank,Description
PROD001,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",837.9731684531537,S5,1,Flagship smartphone with advanced camera and processing power
PROD001,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",1005.5175277094435,S3,4,Flagship smartphone with advanced camera and processing power
PROD002,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",866.0068891407194,S3,4,Android smartphone with high refresh rate display and versatile camera
PROD002,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",959.5167686381615,S1,3,Android smartphone with high refresh rate display and versatile camera
PROD002,Circuit Central,"10 days for full refund, unopened only. Buyer pays return shipping.",997.0545530914005,S9,1,Android smartphone with high refresh rate display and versatile camera
PROD003,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",347.88643572367897,S4,3,Over-ear headphones with active noise cancellation and long battery life
PROD003,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",360.0703164766859,S1,3,Over-ear headphones with active noise cancellation and long battery life
PROD003,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",409.17092231327166,S6,4,Over-ear headphones with active noise cancellation and long battery life
PROD004,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",271.2174152889578,S6,4,Compact earbuds with comfortable fit and good sound quality
PROD005,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",392.5976338098536,S7,2,Feature-rich smartwatch with health tracking and app integration
PROD006,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",681.8355197511826,S5,1,Ultraportable laptop for everyday use and productivity
PROD006,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",895.7396763606644,S6,4,Ultraportable laptop for everyday use and productivity
PROD006,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",1020.4300772688864,S7,2,Ultraportable laptop for everyday use and productivity
PROD007,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",524.2674347861947,S2,2,Versatile tablet for entertainment creativity and productivity
PROD007,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",505.8950191015848,S3,4,Versatile tablet for entertainment creativity and productivity
PROD008,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",76.55608487239301,S5,1,Voice-activated smart speaker with virtual assistant
PROD008,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",98.66321344294406,S4,3,Voice-activated smart speaker with virtual assistant
PROD009,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",685.062263622707,S7,2,55-inch Ultra HD television with smart features and HDR support
PROD009,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",804.1385278057757,S1,3,55-inch Ultra HD television with smart features and HDR support
PROD010,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",123.47888045776938,S4,3,Rugged and waterproof speaker for outdoor use
PROD010,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",154.55113458332792,S2,2,Rugged and waterproof speaker for outdoor use
PROD011,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",108.84474765041166,S5,1,Dedicated device for reading digital books with long battery life
PROD011,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",151.14036821768988,S2,2,Dedicated device for reading digital books with long battery life
PROD012,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",1215.1310056739894,S8,5,Mirrorless camera for photography enthusiasts
PROD012,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",1335.1407528273369,S1,3,Mirrorless camera for photography enthusiasts
PROD012,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",1324.1383105572688,S7,2,Mirrorless camera for photography enthusiasts
PROD013,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",442.80948262823046,S3,4,High-performance console for immersive gaming experiences
PROD014,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",169.42523528324008,S2,2,Wearable device for tracking activity sleep and heart rate
PROD014,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",137.22220736838887,S4,3,Wearable device for tracking activity sleep and heart rate
PROD014,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",155.03704294268667,S1,3,Wearable device for tracking activity sleep and heart rate
PROD015,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",60.89229413166865,S6,4,1TB portable external hard drive for data backup and storage
PROD015,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",56.96559572352241,S4,3,1TB portable external hard drive for data backup and storage
PROD016,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",116.40016377682788,S3,4,1TB internal SSD for faster computer performance
PROD016,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",124.54826771868079,S6,4,1TB internal SSD for faster computer performance
PROD016,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",135.0736907340618,S7,2,1TB internal SSD for faster computer performance
PROD017,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",48.06818324559547,S4,3,Ergonomic wireless mouse for comfortable computer navigation
PROD017,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",46.66790957194483,S3,4,Ergonomic wireless mouse for comfortable computer navigation
PROD017,Apex Digital Solutions,"90 days for full refund, any condition. Free return shipping.",48.15709494496588,S8,5,Ergonomic wireless mouse for comfortable computer navigation
PROD018,ElectroDirect Inc.,"30 days for full refund, original packaging, unused. Buyer pays return shipping.",86.61375658107285,S1,3,Full-size wireless keyboard for comfortable typing
PROD018,Innovate Electronics,"30 days for exchange/store credit, original packaging. Buyer pays return shipping.",93.19547977074139,S7,2,Full-size wireless keyboard for comfortable typing
PROD018,ValueTech Supply,"7 days for exchange only, original condition. No refunds.",77.60274515063936,S5,1,Full-size wireless keyboard for comfortable typing
PROD019,Nexus Retail Group,"45 days for full refund, open box accepted. Free return shipping.",79.10726380557077,S6,4,High-definition webcam for video conferencing
PROD019,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",69.91297588563768,S4,3,High-definition webcam for video conferencing
PROD020,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",163.0183405696482,S4,3,Wi-Fi 6 router for fast and reliable home network
PROD020,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",150.46307778879057,S2,2,Wi-Fi 6 router for fast and reliable home network
PROD020,Global Gadgets Co.,"60 days for full refund, open box accepted, 15% restocking fee. Free return shipping.",145.91914442026393,S3,4,Wi-Fi 6 router for fast and reliable home network
PROD021,Prime Picks Electronic,"21 days for full refund or exchange, no restocking fee. Buyer pays return shipping.",48.56701324509756,S4,3,Smart LED bulb that can be controlled via app or voice assistant
PROD021,Tech Emporium Ltd.,"14 days for exchange/store credit, unopened. No returns opened items unless defective.",58.49334055660498,S2,2,Smart LED bulb that can be controlled via app or voice assistant
